value,qualifiers,dateTime,station,parameter,param_code
15.6,['P'],2026-02-10 09:15:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.4,['P'],2026-02-10 09:30:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.4,['P'],2026-02-10 09:45:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.3,['P'],2026-02-10 10:00:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.3,['P'],2026-02-10 10:15:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.2,['P'],2026-02-10 10:30:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.2,['P'],2026-02-10 10:45:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.3,['P'],2026-02-10 11:00:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.4,['P'],2026-02-10 11:15:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.5,['P'],2026-02-10 11:30:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.5,['P'],2026-02-10 11:45:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.5,['P'],2026-02-10 12:00:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.6,['P'],2026-02-10 12:15:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.6,['P'],2026-02-10 12:30:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.6,['P'],2026-02-10 12:45:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.6,['P'],2026-02-10 13:00:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.7,['P'],2026-02-10 13:15:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.7,['P'],2026-02-10 13:30:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.7,['P'],2026-02-10 13:45:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.7,['P'],2026-02-10 14:00:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.8,['P'],2026-02-10 14:15:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.8,['P'],2026-02-10 14:30:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.8,['P'],2026-02-10 14:45:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.8,['P'],2026-02-10 15:00:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
